(0,50)
(1,26)
(1,48)
(1,50)
(2,26)
(2,28)
(2,46)
(2,47)
(2,66)
(2,67)
(3,9)
(3,10)
(3,29)
(3,30)
(3,40)
(3,41)
(3,46)
(3,47)
(3,65)
(3,69)
(4,7)
(4,11)
(4,29)
(4,30)
(4,35)
(4,36)
(4,40)
(4,41)
(4,46)
(4,47)
(4,64)
(4,70)
(5,6)
(5,12)
(5,29)
(5,30)
(5,35)
(5,36)
(5,48)
(5,50)
(5,55)
(5,64)
(5,68)
(5,70)
(5,71)
(5,74)
(5,75)
(6,1)
(6,2)
(6,5)
(6,6)
(6,8)
(6,12)
(6,21)
(6,26)
(6,28)
(6,50)
(6,54)
(6,64)
(6,70)
(6,74)
(6,75)
(7,1)
(7,2)
(7,6)
(7,12)
(7,22)
(7,26)
(7,54)
(7,55)
(7,56)
(7,59)
(7,65)
(7,69)
(8,7)
(8,11)
(8,17)
(8,20)
(8,21)
(8,22)
(8,66)
(8,67)
(9,9)
(9,10)
(32,24)
(32,25)
(32,28)
(32,29)
(33,24)
(33,25)
(33,28)
(33,32)
(34,29)
(34,30)
(34,31)
(34,32)
(36,31)
(36,32)
(37,31)
(37,32)
